제목,링크
세요 멈출 수 없으니까 | 견종백과 비숑프리제편,https://www.youtube.com/watch?v=Wf_A_cnwwvk&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=38&pp=iAQB
지만 아이들과 키우기 좋음 | 견종백과 비글편,https://www.youtube.com/watch?v=2JJqg0JYYkI&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=39&pp=iAQB
코카 스파니엘 미용&건강 편(크고 통통한 귀)｜강형욱의 견종백과 X 이승인 누가 X 하늘이,https://www.youtube.com/watch?v=-v27YncVI8o&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=40&pp=iAQB
"코카 스파니엘 식욕&성격 편(휴지의 비명,감정공감 최고)｜강형욱의 견종백과 X 이승인 누가 X 하늘이",https://www.youtube.com/watch?v=THoHZZQ2ibw&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=41&pp=iAQB
코카 스파니엘 파괴력&에너지 편(집안 살림 바사삭 주의)｜강형욱의 견종백과 X 이승인 누가 X 하늘이,https://www.youtube.com/watch?v=GGd0vETcRQA&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=42&pp=iAQB
"사모예드 성격 편 (사회성,의심쟁이,사람이좋아)｜강형욱의 견종백과 X 극한견주 솜이 X 백곰이",https://www.youtube.com/watch?v=jrO8TeJ50DI&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=43&pp=iAQB
"사모예드 대형견&파워  편 (폭풍성장,전력질주)｜강형욱의 견종백과 X 극한견주 솜이 X 백곰이",https://www.youtube.com/watch?v=GNgr4d5kboI&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=44&pp=iAQB
"사모예드 털 편 (털빠짐, 목욕고충, 한국더위)｜강형욱의 견종백과 X 극한견주 솜이 X 백곰이",https://www.youtube.com/watch?v=XkHgmgsuv5E&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=45&pp=iAQB
[Eng sub/日本語字幕] 골든 리트리버 2부｜강형욱의 견종백과 X 리틀라이언 레아레토,https://www.youtube.com/watch?v=VZF0ST0-5vc&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=46&pp=iAQB
[Eng sub/日本語字幕] 골든 리트리버 1부｜강형욱의 견종백과 X 리틀라이언 레아레토,https://www.youtube.com/watch?v=NAjZcaEq_Nc&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=47&pp=iAQB
